MP_no,Total_PE,PE_weighted_dist_m,SepticTank,Preliminary,Primary,SecondaryA,SecondaryB,TertiaryA1,TertiaryA2,TertiaryB1,TertiaryB2
1,204125.53,19403.35992,0.000988558,0,0,0,0.000556765,0.088991416,0.727461038,0.053361086,0.128641136
2,113.65,15706.47982,0,0,0,0,1,0,0,0,0
3,4577.58,3265,0,0,0,0,0,0,0,0,1
4,8.84,11831.72833,1,0,0,0,0,0,0,0,0
5,113.65,13319.75591,0,0,0,0,1,0,0,0,0
6,113.65,4758.712663,0,0,0,0,1,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0,0
8,168358.78,5438.500162,0.000581793,0,0,0,0,0.107897076,0.698043131,0.064697309,0.128780691
9,0,0,1,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0
11,50837.09,6821.553906,0.001926743,0,0,0,0,0.357326118,0,0.2142601,0.426487039
12,3945.37,4503.123647,0,0,0,0,0,1,0,0,0
13,3945.37,2909.068292,0,0,0,0,0,1,0,0,0
14,5392.83,10737.75557,0.018163005,0,0,0,0,0,0,0.981836995,0
15,0,0,1,0,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0,0
17,8.84,5989.302052,1,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0
19,0,0,1,0,0,0,0,0,0,0,0
21,0,0,1,0,0,0,0,0,0,0,0
